item_id,title,type,R,K,N,price,lat,lon,tags,description,actividad_level,outdoor,accesible
1,Hotel 001,hotel,4.0,1,419,1033.34,18.8214,-97.1107,"romántico,descanso",Lugar de tipo hotel con enfoque en romántico y descanso.,1,0,0
2,Restaurante 002,restaurante,4.9,2,190,338.31,18.8816,-97.1498,"tradicional,romántico,gastronomía",Lugar de tipo restaurante con enfoque en tradicional y romántico.,2,0,1
3,Atracción 003,atracción,4.3,3,401,121.5,18.8517,-97.1258,"cultura,historia",Lugar de tipo atracción con enfoque en cultura y historia.,4,0,0
4,Atracción 004,atracción,4.4,4,61,342.69,18.834,-97.1284,"cultura,familiar,naturaleza",Lugar de tipo atracción con enfoque en cultura y familiar.,3,1,0
5,Atracción 005,atracción,4.0,5,325,396.61,18.8701,-97.1229,"cultura,historia",Lugar de tipo atracción con enfoque en cultura y historia.,2,0,0
6,Tienda 006,tienda,4.1,6,193,76.42,18.8773,-97.1785,"gastronomía,local,artesanía",Lugar de tipo tienda con enfoque en gastronomía y local.,1,0,0
7,Hotel 007,hotel,4.5,7,171,2946.02,18.8782,-97.1174,"romántico,ecológico",Lugar de tipo hotel con enfoque en romántico y ecológico.,1,0,0
8,Tienda 008,tienda,4.7,8,72,374.62,18.852,-97.1363,"artesanía,gastronomía",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,2,0,1
9,Hotel 009,hotel,4.0,9,352,2767.9,18.8305,-97.1077,"ecológico,panorama,descanso",Lugar de tipo hotel con enfoque en ecológico y panorama.,1,1,0
10,Restaurante 010,restaurante,4.7,10,135,167.18,18.8547,-97.1141,"gastronomía,tradicional,romántico",Lugar de tipo restaurante con enfoque en gastronomía y tradicional.,2,0,0
11,Tour 011,tour,4.8,11,428,411.9,18.8382,-97.1786,"naturaleza,excursión",Lugar de tipo tour con enfoque en naturaleza y excursión.,3,1,0
12,Tour 012,tour,4.2,12,121,1374.77,18.8773,-97.1553,"cultural,extremo",Lugar de tipo tour con enfoque en cultural y extremo.,3,0,0
13,Restaurante 013,restaurante,4.1,13,363,276.78,18.803,-97.1625,"familiar,gastronomía",Lugar de tipo restaurante con enfoque en familiar y gastronomía.,2,0,0
14,Atracción 014,atracción,4.1,14,153,365.02,18.8548,-97.1644,"familiar,naturaleza",Lugar de tipo atracción con enfoque en familiar y naturaleza.,4,1,1
15,Tour 015,tour,3.5,15,173,1163.09,18.8283,-97.1197,"cultural,naturaleza,extremo",Lugar de tipo tour con enfoque en cultural y naturaleza.,5,1,0
16,Tienda 016,tienda,4.4,16,319,126.48,18.8833,-97.1404,"local,artesanía",Lugar de tipo tienda con enfoque en local y artesanía.,1,0,0
17,Tour 017,tour,5.0,17,262,693.46,18.8374,-97.1565,"cultural,excursión",Lugar de tipo tour con enfoque en cultural y excursión.,4,1,1
18,Hotel 018,hotel,4.8,18,202,2650.34,18.8299,-97.1139,"romántico,panorama",Lugar de tipo hotel con enfoque en romántico y panorama.,1,1,1
19,Tienda 019,tienda,4.6,19,457,246.75,18.8361,-97.11,"local,souvenir,gastronomía",Lugar de tipo tienda con enfoque en local y souvenir.,2,0,0
20,Atracción 020,atracción,4.9,20,199,278.21,18.8911,-97.1691,"cultura,naturaleza,vista",Lugar de tipo atracción con enfoque en cultura y naturaleza.,4,1,0
21,Tour 021,tour,3.9,21,118,1471.35,18.8249,-97.1235,"cultural,naturaleza",Lugar de tipo tour con enfoque en cultural y naturaleza.,5,1,0
22,Tienda 022,tienda,3.6,22,350,86.58,18.859,-97.1281,"gastronomía,souvenir",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,2,0,0
